id,title,type,genre,tags,description,link,releaseDate,thumbnail,trailer,price,averageRating,totalRatings
0015fb0e-a922-4a81-9a14-e9d7837e68fe,Bodiam Castle,Survival Spawn World,Education,Open World; Historical; Educational; Exploration,"Ever wondered what the famous Bodiam Castle looked like during its prime? Visit this true to life recreation of the British bastion of defense against the French during the Hundred Years' War. Built in 1385 by Sir Edward Dalyngrigge, it's now ready to be explored!",https://www.minecraft.net/en-us/pdp/?id=0015fb0e-a922-4a81-9a14-e9d7837e68fe,2020-06-02T17:00:00+00:00,https://xforgeassets001.xboxlive.com/pf-title-b63a0803d3653643-ee7b/bb046ef0-249e-49e2-a7d8-34bc1247801a/Bodiam_Castle_thumbnail_0.jpg,,310,0,0
001cd380-0a71-4dd5-8293-3640c067b7e3,Billionaire Cliffside Mansion,Survival Spawn World,Survival,Minimalist; Survival; Role Playing; Choices Matter; Multiplayer; Modern; Vehicles,A luxurious mansion for the billionaires who wish to have a majestic view! Play survival in luxury like never before!$$$$- Drive your exclusive sport car!$$- Massive modern mansion!$$- Beautiful cliffside view!$$$$And much more!,https://www.minecraft.net/en-us/pdp/?id=001cd380-0a71-4dd5-8293-3640c067b7e3,2021-05-25T17:00:00+00:00,https://xforgeassets001.xboxlive.com/pf-title-b63a0803d3653643-20ca2/4e46e3bb-f4bd-4b08-9762-62f7b7e77eb3/BCM_thumbnail_0.jpg,,660,4.1,30
001ff782-d347-4454-9208-91f18439c289,Arabian Palm Island,Survival Spawn World,Adventure,Custom Terrain; Open World; Pve; Touch Friendly; Action,"Arabia, a mysterious place! Their people. great poets, architects, merchants and warriors! By a stroke of luck, this is where you’ve ended up. In your tent you sit, with what little you own! Time to venture out? $$-A paradise island, all for you to explore!$$-A great city to find $$-Dungeons and dangers await.$$-Be careful of the dead!",https://www.minecraft.net/en-us/pdp/?id=001ff782-d347-4454-9208-91f18439c289,2019-03-19T17:00:00+00:00,https://xforgeassets002.xboxlive.com/serviceid-18231953-4b1d-472c-a39e-48b10105b7b7/4e958081-5d0d-4a00-80de-faaba83d930d/ArabiaPalmIsland_thumbnail_0.jpg,,490,3.5,46
0023bcf8-8063-4511-8452-9228e5f626d8,Masked Bunnies,Skinpack,Roleplaying Game,Colorful; Color; Free; Teen; Cute; Epic; Cool; Friends,"Masked Bunnies have hopped into Minecraft!$$Dress up in dark, light, or colorful bunny masks and impress your friends!",https://www.minecraft.net/en-us/pdp/?id=0023bcf8-8063-4511-8452-9228e5f626d8,2022-02-15T18:00:00Z,https://xforgeassets002.xboxlive.com/pf-title-b63a0803d3653643-20ca2/192dd60c-0922-4615-a3a5-bdf8741cf290/maskedbunnies_thumbnail_0.jpg,,310,4.8,56
005523d8-1c69-48df-a592-6d0133e21100,Shoot 'n' Score,Mini Game World,Arcade,Addictive; Adventure; Bows; Funny; On Rails; Racing; Relaxing; Time Management,"Shoot 'n' Score is a frantic arcade minigame where you ride railroads at top speed while shooting targets non-stop. Sharpen your senses and take aim, beating the max score is the real challenge!$$- Custom target system$$- Power-ups, bonuses, special skills and more$$- 10 levels set in amazing environments$$- Hundreds of targets per level. No time to blink!",https://www.minecraft.net/en-us/pdp/?id=005523d8-1c69-48df-a592-6d0133e21100,2019-10-01T18:00:00+00:00,https://xforgeassets002.xboxlive.com/pf-title-b63a0803d3653643-ee7b/75a4a9dd-9f6d-4a0b-9dce-225bc0d3167c/ShootnScore_thumbnail_0.jpg,,490,3.6,40
00881cf8-ad02-4dd3-ae60-b4dc089b8041,Realistic Skyblock,Survival Spawn World,Survival,Sky; Block; Realistic; Exploration; Adventures; Loot; Treasure; Atmospheric,"Explore the skies and journey through diverse flying islands and biomes. Conquer the challenges of making your way to your final destination, the End Island! $$$$- 8 different Islands. $$- A fun Skyblock adventure for a chill time!",https://www.minecraft.net/en-us/pdp/?id=00881cf8-ad02-4dd3-ae60-b4dc089b8041,2024-02-06T18:00:00Z,https://xforgeassets002.xboxlive.com/pf-namespace-b63a0803d3653643/8dfd5180-c936-4b7f-b381-0dde510008c8/RS_thumbnail_0.jpg,,310,3.3,15
009270c8-69cc-469b-b415-6d2371a695aa,Area 51: Rescue Mission,Adventure World,Roleplaying Game,Aliens; Science Fiction; Artificial Intelligence; Choose Your Own Adventure; Choices Matter; Boss; Voice Over,"Aliens have crash-landed on Earth and they need YOUR help to escape the shady government's cover-ups and control.$$It won't be easy though... Can you sneak into a military base, hijack a helicopter, glide from the mountain, and rescue the aliens against the odds?$$$$-Follow the story through challenges on an epic adventure!$$-Custom mobs, music, textures, and voice-over!",https://www.minecraft.net/en-us/pdp/?id=009270c8-69cc-469b-b415-6d2371a695aa,2024-07-09T17:00:00Z,https://xforgeassets002.xboxlive.com/pf-namespace-b63a0803d3653643/3fd117b2-774f-4070-a87c-37eed59edafb/Ar51RscMssn_thumbnail_0.jpg,https://www.youtube.com/watch?v=EWRLZ0DjW7k,1340,4.2,5
010bf898-d956-4811-aa6b-7d3c3ada0459,Copper Mobs,Skinpack,Roleplaying Game,Mob; Mobs; Camo; Metal; Block; Free; Skin,Copper Mobs have marched their way into your world!$$Camouflage and have fun with your friends with various metallic mobs!$$$$+ 12 Copper Mobs skins$$+ 1 free skin$$+ Includes oxidized and deoxidized Copper Mobs skins,https://www.minecraft.net/en-us/pdp/?id=010bf898-d956-4811-aa6b-7d3c3ada0459,2023-05-16T17:00:00Z,https://xforgeassets002.xboxlive.com/pf-namespace-b63a0803d3653643/54e7898b-4826-45f9-bc42-4507ca776f30/coppermobs_thumbnail_0.jpg,,310,4.8,56
012a42aa-b917-48f3-8f6f-1732bb7cc275,Safest House Ever,Survival Spawn World,Survival,Minimalist; Survival; Role Playing; Choices Matter; Multiplayer; Modern; Futuristic,"Are you tired of those pesky monsters? Or perhaps, getting blown up by those creepers?$$Fear no more! In the safest house ever, you have ultimate defenses in your disposal!$$$$- Custom made turrets!$$- Luxurious base to explore!$$- Live in comfort!$$$$And much more!",https://www.minecraft.net/en-us/pdp/?id=012a42aa-b917-48f3-8f6f-1732bb7cc275,2021-08-17T17:00:00+00:00,https://xforgeassets001.xboxlive.com/pf-title-b63a0803d3653643-20ca2/463c99cb-5cfb-4105-bc08-2322d186d530/SfstHsEvr_thumbnail_0.jpg,,660,4.4,11
01af4362-20c2-40fb-a595-443a4673ed25,Ruby Port,Survival Spawn World,Survival,Dragon; Island; Mine; Exploration; Caves; Loot; Treasure,"Once upon a time Ruby Port was a peaceful and thriving port town with a beautiful ruby mine at the heart of its island. $$One day, the miners stumbled upon a cave where an ancient dormant dragon was awoken. The terrible dragon took over the island and left no-one but hollows.$$$$Are you ready to explore the abandoned town of Ruby Port?",https://www.minecraft.net/en-us/pdp/?id=01af4362-20c2-40fb-a595-443a4673ed25,2022-12-27T18:00:00Z,https://xforgeassets001.xboxlive.com/pf-namespace-b63a0803d3653643/41723390-bace-466f-979f-cd9fe409af69/Ruby_Port_thumbnail_0.jpg,,490,4.8,8
